issue_number,issue_title,issue_user,issue_created,issue_closed,issue_url,pr_number,pr_user,pr_merged_at,pr_url,pr_title,root_cause,solution
43357,[R] Some lints in the R code base,etiennebacher,2024-07-22 06:23:49+00:00,2024-08-09 21:48:09+00:00,https://github.com/apache/arrow/issues/43357,43338,etiennebacher,2024-08-09 21:47:50+00:00,https://github.com/apache/arrow/pull/43338,GH-43357: [R] Fix some lints,"`r/` had a backlog of lintr violations across many files: `any(is.na(x))` instead of `anyNA(x)`, decimals without a leading zero (e.g. `.05`), `expect_identical(names(x), ...)` instead of `expect_named()`, and an unnecessary `ifelse(..., TRUE, FALSE)` wrapper in `r/R/dplyr-funcs-datetime.R`.","Pure-style cleanup: swapped `any(is.na(x))` -> `anyNA(x)` in `arrow-tabular.R`, `dplyr-datetime-helpers.R` and tests; rewrote `.05/.1/.5/.99` literals with the leading zero; replaced `expect_identical(names(...), ...)` with `expect_named(...)` across many test files; and simplified `ifelse(call_binding(""is.Date"", x), TRUE, FALSE)` to a direct assignment in `dplyr-funcs-datetime.R:817`."
43163,[R] Broken bindings in Math group generics,aboyoun,2024-07-06 07:05:35+00:00,2024-07-07 16:59:24+00:00,https://github.com/apache/arrow/issues/43163,43162,aboyoun,2024-07-07 16:59:14+00:00,https://github.com/apache/arrow/pull/43162,GH-43163: [R] Fix bindings in Math group generics,"`Math.ArrowDatum` in `r/R/arrow-datum.R` lumped several Math-group generics into a fall-through that just called `.Generic`, so `log2`, `log1p`, `cumprod`, `cummin`, and `cummax` had no real Arrow binding and either errored or gave wrong results on Array/ChunkedArray.","Wrote explicit per-function bindings: `log2` -> `""log2_checked""`, `log1p` -> `""log1p_checked""`, and the cumulative generics to their respective Arrow compute functions. Added new test cases in `test-compute-arith.R` covering Array and ChunkedArray inputs."
42173,[R] Writing partitionned dataset with Rarrow on S3 failed if ListBucket is not allowed for the user,alexisdondon,2024-06-17 09:02:20+00:00,2025-10-21 09:01:16+00:00,https://github.com/apache/arrow/issues/42173,47599,simonelbaz,2025-10-21 09:01:07+00:00,https://github.com/apache/arrow/pull/47599,GH-42173: [R][C++] Writing partitioned dataset on S3 fails if ListBucket is not allowed for the user,"R's `write_dataset()` had no way to skip directory creation; the C++ `FileSystemDatasetWriteOptions::create_dir` flag wasn't exposed, so partitioned writes always tried to create the partition directories. On S3 buckets where the user lacked `ListBucket`, this failed even though the write itself was permitted.","Plumbed a `create_directory = TRUE` argument through the R API (`r/R/dataset-write.R`), regenerated bindings (`r/src/arrowExports.cpp`), and forwarded it in `r/src/compute-exec.cpp` via `opts.create_dir = create_directory`, so users can opt out of directory creation when permissions are restricted."
41813,[R] Segfault when collecting parquet dataset query results,mrd0ll4r,2024-05-24 15:02:53+00:00,2024-06-25 14:24:21+00:00,https://github.com/apache/arrow/issues/41813,42188,zanmato1984,2024-06-25 14:24:13+00:00,https://github.com/apache/arrow/pull/42188,GH-41813: [C++] Fix avx2 gather offset larger than 2GB in `CompareColumnsToRows`,"`compare_internal_avx2.cc` used the AVX2 gather intrinsics `_mm256_i32gather_epi32`/`_epi64`, which interpret their offset operand as *signed* int32. Once a row table exceeded 2 GB, offsets above 0x80000000 were interpreted as negative, so `CompareColumnsToRows` read from the wrong addresses and segfaulted.","Introduced `UnsignedOffsetSafeGather32`/`Gather64` helpers that shift the base pointer +2 GB and the offset -2 GB, keeping the offset in `[-2 GB, 2 GB)` while pointing at the right address. All direct gather calls in `compare_internal_avx2.cc` were routed through these wrappers; a >2 GB regression test was added."
40991,[R] incompatibility with M2 and M3 processors in macOS,rafapereirabr,2024-04-04 00:12:30+00:00,2024-04-05 22:55:37+00:00,https://github.com/apache/arrow/issues/40991,41019,jonkeane,2024-04-05 22:55:29+00:00,https://github.com/apache/arrow/pull/41019,"GH-40991: [R] Prefer r-universe, add a startup message","On macOS, the CRAN binary of `arrow` ships with several features disabled, so `.onAttach()` in `r/R/arrow-package.R` printed a confusing ""some features are off"" warning even when only jemalloc was off, and gave no actionable next step. There was also no guidance pointing users to the fully-built r-universe binaries.","Restructured `.onAttach()` to detect macOS and recommend reinstalling from r-universe via `install.packages('arrow', repos = 'https://apache.r-universe.dev')`, and excluded `""jemalloc""` from the `some_features_are_off()` blocklist in `r/R/arrow-info.R` to suppress the spurious warning."
40886,[R] Cryptic error when creating Arrow array from POSIXct with invalid time zones,Wainberg,2024-03-29 14:37:02+00:00,2026-04-21 14:56:35+00:00,https://github.com/apache/arrow/issues/40886,49714,thisisnic,2026-04-21 14:56:22+00:00,https://github.com/apache/arrow/pull/49714,GH-40886: [R] Cryptic error when creating Arrow array from POSIXct with invalid time zones,"`InferArrowTypeFromVector` in `r/src/type_infer.cpp` read a `POSIXct`'s `tzone` attribute without checking its type. If `tzone` was something other than a character vector (e.g. produced by `as.POSIXct(1, NA)`), the code proceeded into Arrow internals and surfaced a cryptic `STRING_ELT() can only be applied to a 'character vector'` error far from the real cause.","Added `else if (TYPEOF(tzone_sexp) != STRSXP) cpp11::stop(""`tzone` attribute of a `POSIXct` vector must be a character vector"")` to both the `INTSXP` and `REALSXP` specialisations of `InferArrowTypeFromVector`, so invalid `tzone` values fail fast with a clear message."
40640,[R] to_arrow() loses group_by(),xtimbeau,2024-03-18 16:29:08+00:00,2026-04-12 08:40:46+00:00,https://github.com/apache/arrow/issues/40640,49713,thisisnic,2026-04-12 08:40:27+00:00,https://github.com/apache/arrow/pull/49713,GH-40640: [R] to_arrow() loses group_by(),"`to_arrow()` in `r/R/duckdb.R` round-tripped data through DuckDB but threw away `dplyr` grouping; the returned object had no groups, breaking subsequent `summarise()`/`mutate()` calls that relied on `group_by()` set before the call.","Captured groups with `groups <- dplyr::groups(.data)` before executing the DuckDB query, and reapplied them on the result via `if (length(groups)) out <- dplyr::group_by(out, !!!groups)`. Added a roundtrip test confirming groups survive `to_arrow()`."
40591,[Docs][R] Contrast issues in the navbar on the website,etiennebacher,2024-03-16 15:34:08+00:00,2024-03-21 01:08:45+00:00,https://github.com/apache/arrow/issues/40591,40610,etiennebacher,2024-03-21 01:08:43+00:00,https://github.com/apache/arrow/pull/40610,GH-40591: [R] Add extra CSS for navbar on pkgdown website,"The pkgdown site's dark-theme navbar inherited insufficient text contrast: the navbar links, version badge, and search-input placeholder rendered nearly invisible against the dark background.","Added a 14-line `r/pkgdown/extra.css` overriding `.navbar-dark`/`.navbar[data-bs-theme=""dark""]`, `.nav-text`/`.text-muted`, and `#search-input::placeholder` to use `#d9d9d9`, restoring legibility in the navbar."
40227,[R] `create_package_with_all_dependencies` leaves files unexecutable,hutch3232,2024-02-26 01:13:01+00:00,2024-03-06 20:29:26+00:00,https://github.com/apache/arrow/issues/40227,40232,hutch3232,2024-03-06 20:29:15+00:00,https://github.com/apache/arrow/pull/40232,GH-40227: [R] ensure executable files in `create_package_with_all_dependencies`,"`create_package_with_all_dependencies()` in `r/R/install-arrow.R` repacked vendored deps with `utils::tar(..., compression = ""gz"")`. With no `extra_flags` specified, R's default flags strip executable bits, so configure scripts inside the resulting tarball lost their `+x` permission.","Passed `extra_flags = NULL` to the `utils::tar()` call (line 254), preventing R's default flag set from being applied and thereby preserving executable permissions on the bundled files."
39857,[R] CSV parser got out of sync with chunker,larry77,2024-01-30 16:12:21+00:00,2024-02-06 15:19:05+00:00,https://github.com/apache/arrow/issues/39857,39892,pitrou,2024-02-06 15:19:04+00:00,https://github.com/apache/arrow/pull/39892,"GH-39857: [C++] Improve error message for ""chunker out of sync"" condition","When the CSV reader hit cell values containing newlines and the user hadn't enabled `newlines_in_values`, the chunker and parser silently desynced and `BlockParsingOperator::operator()` / `ReaderMixin::Parse()` in `cpp/src/arrow/csv/reader.cc` returned only a generic ""got out of sync"" error, with no actionable hint.","Added an explicit check for `parsed_size < bytes_before_buffer` in both call sites and surfaced a targeted error: ""contains cell values spanning multiple lines; please consider enabling the option 'newlines_in_values'."" Added regression tests in `parser_test.cc` and `test_csv.py` for truncated-view handling and the new error message."
39811,[R] col_types of open_delim_dataset() does not work as described,joelnitta,2024-01-26 22:11:50+00:00,2025-04-11 09:05:40+00:00,https://github.com/apache/arrow/issues/39811,45719,atsyplenkov,2025-04-11 09:05:28+00:00,https://github.com/apache/arrow/pull/45719,GH-39811: [R] better documentation for col_types argument in open_delim_dataset,"`readr_to_csv_convert_options()` in `r/R/csv.R` had inline logic for parsing readr-style compact column-type specs (e.g. `""idlcfT""`), which was hard to reuse and untested. `open_delim_dataset()`'s `col_types` documentation also didn't show the compact-string form.","Extracted the parsing into reusable helpers `parse_compact_col_spec()` and `col_type_from_compact()` in `r/R/util.R`, replaced the inline implementation in `csv.R` with calls into them, expanded `open_delim_dataset` docs to demonstrate both schema and compact-string forms, and added unit tests in `test-util.R`."
39191,[R] arrow R package: support for stringr::str_replace_all() incomplete ,abfleishman,2023-12-12 02:40:30+00:00,2023-12-19 09:47:49+00:00,https://github.com/apache/arrow/issues/39191,39219,abfleishman,2023-12-19 09:47:47+00:00,https://github.com/apache/arrow/pull/39219,GH-39191: [R] throw error when `string_replace` is passed vector of values in `pattern`,"`arrow_r_string_replace_function` in `r/R/dplyr-funcs-string.R` did not validate `pattern`/`replacement` lengths, so passing length>1 vectors to `stringr::str_replace_all()` bindings was silently accepted and produced incorrect output instead of an error like in stringr.","Added `length(pattern) != 1` / `length(replacement) != 1` guards at the top of the binding that throw an error, and added matching tests in `test-dplyr-funcs-string.R`."
38828,[R] Can't use RecordBatchStreamWriter with Socket connection,pinduzera,2023-11-21 14:44:49+00:00,2024-04-03 14:14:28+00:00,https://github.com/apache/arrow/issues/38828,38897,paleolimbot,2024-04-03 14:14:27+00:00,https://github.com/apache/arrow/pull/38897,GH-38828: [R] Ensure that streams can be written to socket connections,"`RConnectionFileInterface::Tell()` in `r/src/io.cpp` always called R's `seek()` to report position. Non-seekable connections (e.g. socket connections) error on `seek()`, so `RecordBatchStreamWriter` couldn't be constructed over a socket connection.","Added `seekable_`, `bytes_written_`, and `bytes_read_` state to `RConnectionFileInterface` plus a `check_seekable()` helper that probes via R's `isSeekable()`. `Tell()` now returns the running byte counter for non-seekable connections instead of calling `seek()`, and `WriteBase()`/`ReadBase()` keep the counter up to date."
38382,"[R] Connection is garbage-collected, use dbDisconnect() to avoid this (when using to_duckdb())",PMassicotte,2023-10-21 10:41:04+00:00,2023-11-01 14:08:20+00:00,https://github.com/apache/arrow/issues/38382,38495,paleolimbot,2023-11-01 14:08:18+00:00,https://github.com/apache/arrow/pull/38495,GH-38382: [R] Explicitly clean up `arrow_duck_connection()` on exit,"`arrow_duck_connection()` in `r/R/duckdb.R` opened a DuckDB connection but never registered cleanup; relying on `.onUnload()`/`.onDetach()` was unreliable, so users saw ""Connection is garbage-collected, use dbDisconnect() to avoid this"" warnings after `to_duckdb()`.","Created an environment object `arrow_duck_finalizer` and attached `reg.finalizer()` to it, calling `DBI::dbDisconnect(con, shutdown = TRUE)` on namespace teardown. This guarantees the DuckDB connection is closed cleanly without depending on package-detach hooks."
37907,[R] Setting rosetta variable is missing,pascalgulikers,2023-09-27 14:42:13+00:00,2023-10-12 23:23:44+00:00,https://github.com/apache/arrow/issues/37907,37961,fernandomayer,2023-10-12 23:23:42+00:00,https://github.com/apache/arrow/pull/37961,GH-37907: [R] Setting rosetta variable is missing,"`on_rosetta()` was defined in `r/R/arrow-package.R` but called from `r/R/install-arrow.R`. R's collation order meant the function wasn't yet visible at install time on macOS Rosetta, so the install path errored before it could detect a Rosetta environment.","Moved `on_rosetta()` from `arrow-package.R` to `install-arrow.R` so it's defined alongside its only caller, refactored its single result into a variable to avoid recomputation, and added a test in `test-install-arrow.R` confirming it runs without warnings."
